names english,names ukrainian
Toadfoot and Tigerheart,Жабоногий і Тигрове Серце
Yowls,Яблука
Twoleg,Двоногий
A couple of days,пару днів
Twolegs,Двоногі
Mouse,Миша
Brambleclaw,Brambleclaw
first,перше
Tawnypelt,Tawnypelt
Foxleap,Foxleap
Leopardstar,Леопардстар
tabby tom,таббі Том
Firestar and Brambleclaw,Firestar і Brambleclaw
Jay’s Wing,Крило Джея
the orange tom,помаранчевий том
yuck,Ні
dam”—she,греблі”-ше
Clanmate,Клановий товариш
Ashfoot,Ясеня
yesterday,учора
the Ancient Clan,стародавній клан
Hawkfrost,Яструб
Breezepelt,Breezepelt
Sedgewhisker’s,Sedgewhisker 's
two days,два дні
Noise,Шум
CHAPTER 25,ГЛАВА 25
Firestar,Вогняна зірка
Twoleg for a moon,Двоногий на місяць
n’t,"n,t"
CHAPTER 24,ГЛАВА 24
CHAPTER 17,ГЛАВА 17
Daisy,Дейзі
Yellowfang,Yellowfang
Petalfur,Петалфур
Thunderpath,Грозовий шлях
Hang on a moment,Зачекайте хвилинку
tom,Tom
pelt- den,pelt- den
Moonpool,Moonpool
ShadowClan,ShadowClan
"Sure, Firestar","Звичайно, Firestar"
Leafpool,Leafpool
Lionblaze,Lionblaze
Blossompaw,Blossompaw
Two nights,Дві ночі
Congratulations,Мої вітання. 
the Great Journey,велика подорож
Sunhigh,Сонце високе
Where’s the stream,Де потік
Berrynose,Берриноз
Rock,Рок
Gatherings,Збори
bush,Буш
Thunderpaths,Громові шляхи
days,днів
Blackstar,Blackstar
Relief,Полегшення
third,пацієнтів
brown tabby tom,коричневий таббі Том
CHAPTER 14,ГЛАВА 14. 
the day,день
the white kittypet,білий котик
Purdy,Пурді
Hurry,квапитися
Reluctantly Dovepaw,Неохоче Dovepaw
CHAPTER 23,ГЛАВА 23
Squirrelflight,Політ білки
RiverClan,RiverClan
Icecloud,Icecloud
Tigerstar,Tigerstar
Jigsaw,"Метод ""ажурної пилки"""
Clanmates,Товариші по клану
Flametail and Dawnpelt,Flametail and Dawnpelt
Ferncloud,Ferncloud
Great,Чудово. 
Starlingpaw,Starlingpaw
black-,чорний
Whitetail,Білий хвіст
Rippletail,Ріплетайл
Twolegplace,Twolegplace
the orange kittypet,помаранчевий котик
Mousewhisker,Mousewhisker
shaggy brown,мохнато-коричневий
Jayfeather,Джейфетер
First,Перше
Tigerheart,Tigerheart
Ivypaw,Ivypaw
Rainstorm,Дощ
Longtail,Довгохвіст
So am I.”,Мені теж
Hope’s the easy part,Надія - це легка частина
Something’s happening,Щось відбувається
the Dark Forest,темний ліс
About Leafpool and Crowfeather,Про Leafpool і Crowfeather
Cinderheart,Cinderheart
The Dark Forest,Темний ліс
Redwillow,Червона верба
Daisy gave Poppyfrost,Дейзі подарувала Поппіфрост
"Hey, Poppyfrost","Привіт, Поппіфрост"
second,друге
Slowly Rock,Повільно рок
WindClan,WindClan
earth,
Mousefur guiding Longtail,"Шерсть миші, що веде довгий хвіст"
"Hey, Dovepaw","Привіт, Голубчику"
Once Cinderheart,Одного разу Кіндерхарт
Sedgewhisker,Sedgewhisker
CHAPTER 21,Глава 21
CHAPTER 15,ГЛАВА 15
Russetfur,Russetfur
Woody,Woody
Dovepaw,Dovepaw
"Hey, Jayfeather!”","Гей, Джейфітер!»"
"Hey, Toadfoot and","Гей, Жабоногий і"
the end of the,На кінець
StarClan,StarClan
brown tabby,коричневий таббі
Mousefur,Mousefur
Clan,Рід
Upwalker,Апвокер
earth—“is,земля-“є
Cinderpelt,Шліфувальна шкурка
Briarpaw,Бріарпау
CHAPTER 16,ГЛАВА 16
Cloudtail,Cloudtail
Seville,Севілья
"Thanks, Dovepaw","Дякую, Dovepaw"
The Twoleg put Petalfur,Двоногий поставив Петальфура
CHAPTER 19,ГЛАВА 19
Sol,тверд
Hazeltail,Hazeltail
the jaw marks,сліди від щелепи
Honeyfern,Honeyfern
’s,Виконавчий офіцер керує командним пунктом роти і стежить за тактичною обстановкою в районі дій роти
"Hi, Cinderheart","Привіт, Cinderheart"
Territory,Територія
brown tom mewed,коричневий Том м 'яв
Bumblepaw,Bumblepaw
today,сьогодні
Poppyfrost,Poppyfrost
Brackenfur,Бракенфур
brown tom,коричневий том
Today,Сьогодні
Dustpelt,Dustpelt
CHAPTER 13,Глава 13. 
Clans,Клани
Fox,Лисиця
CHAPTER 26,ГЛАВА 26 
Thornclaw,Шиповий кіготь
"Squirrelflight, Rosepetal","Squirrelflight, Rosepetal"
CHAPTER 22,ГЛАВА 22
CHAPTER 18,Глава 18 
Your Clanmates,Ваші однокласники
What’s the matter,В чому справа?
the day before,За день до цього 
CHAPTER 20,ГЛАВА 20
Thankyou,Дякую
The day,день
Dovepaw’s,Dovepaw 's
scruff,scruff
ThunderClan,КЛАН ГРОМОВЕРЖЦІВ
Toadfoot,Жабоногий
Petalfur—“we,Петалфур- «ми
"Hey, Dustpelt","Гей, Dustpelt"
"Yes, Berrynose","Так, Берріноз"
all day,весь деньTime from - to
Sorreltail,Щавелехвіст
Toadstep,Жаб 'ячий крок
Sandstorm,піщана буря
Wha,Що це
Remember,Пам'ятайте
Quickly Jayfeather,Швидко Jayfeather
It’s Berrynose,Це Берріноз
Retreat,«Відхід»
Snowdrop,Підсніжник
Brightheart,Яскраве серце
Rowanclaw,Rowanclaw
Poppyfrost’s,Poppyfrost 's
